Model,Prompt,Run,Question File,Question Number,Categories,Score
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,1,"Bitcoin, Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,2,"Bitcoin, Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,3,"Bitcoin, Blockchain Fundamental, Knowledge, Beginner",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,4,"Bitcoin, Consensus Mechanisms, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,5,"Bitcoin, Security, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,6,"Bitcoin, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,7,"Bitcoin, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,8,"Bitcoin, Security, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,9,"Bitcoin, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,10,"Bitcoin, Knowledge, Intermediate",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,11,"Bitcoin, Cryptography, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,12,"Bitcoin, Smart Contract, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,13,"Bitcoin, Security, Problem Solving, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,14,"Bitcoin, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,15,"Bitcoin, Security, System Design, Advanced",1
gpt-4o-2024-08-06,You are an expert in cryptogra,1,MultichoiceQuestions.json,16,"Bitcoin, Security, System Design, Advanced",1
