question_id,category,Qwen/Qwen2-Math-72B-Instruct,claude-3-5-sonnet-20240620,claude-3-haiku-20240307,claude-3-opus-20240229,deepseek-ai/DeepSeek-V2.5,gemini-1.5-flash,gemini-1.5-pro,google/gemma-2-27b-it,google/gemma-2-9b-it,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,gpt-4o-2024-08-06,gpt-4o-mini-2024-07-18,meta-llama/Meta-Llama-3.1-405B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,mistral-nemo:12b-instruct-2407-q8_0,mistralai/Mixtral-8x7B-Instruct-v0.1,nous-hermes2:10.7b-solar-fp16,phi3:14b-medium-128k-instruct-q8_0,phi3:3.8b-mini-128k-instruct-fp16
1,"Bitcoin, Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Bitcoin, Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Bitcoin, Blockchain Fundamental, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"Bitcoin, Consensus Mechanisms, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Bitcoin, Security, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
6,"Bitcoin, Knowledge, Intermediate",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
7,"Bitcoin, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Bitcoin, Security, Knowledge, Intermediate",0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0
9,"Bitcoin, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,"Bitcoin, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
11,"Bitcoin, Cryptography, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
12,"Bitcoin, Smart Contract, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,"Bitcoin, Security, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
14,"Bitcoin, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,"Bitcoin, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16,"Bitcoin, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,"Bitcoin, Privacy, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,"Bitcoin, Cryptography, System Design, Advanced",1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
19,"Bitcoin, Security, Problem Solving, Advanced",0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
20,"Bitcoin, Smart Contract, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,"Bitcoin, Privacy, Security, System Design, Advanced",1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
22,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
23,"Bitcoin, Smart Contract, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,"Bitcoin, Smart Contract, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,"Bitcoin, Smart Contract, Security, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
27,"Bitcoin, Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,"Bitcoin, Smart Contract, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
29,"Bitcoin, Cryptography, Privacy, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,"Bitcoin, Cryptography, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,"Bitcoin, Smart Contract, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,"Bitcoin, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
33,"Bitcoin, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,"Bitcoin, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,"Bitcoin, System Design, Advanced",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
36,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
37,"Bitcoin, Consensus Mechanisms, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
38,"Bitcoin, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,"Bitcoin, System Design, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,"Bitcoin, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,"Bitcoin, Blockchain Fundamental, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,"Bitcoin, Consensus Mechanisms, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,"Bitcoin, Security, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
47,"Bitcoin, Knowledge, Beginner",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,"Bitcoin, Knowledge, Advanced",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
49,"Bitcoin, Security, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,"Bitcoin, Security, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,"Bitcoin, Security, Knowledge, Intermediate",0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
52,"Bitcoin, Security, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,"Bitcoin, Security, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
59,"Bitcoin, Layer 2 Solutions, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,"Bitcoin, Layer 2 Solutions, Security, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,"Bitcoin, Layer 2 Solutions, Security, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,"Bitcoin, Layer 2 Solutions, Privacy, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,"Bitcoin, Layer 2 Solutions, Problem Solving, Advanced",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
66,"Bitcoin, Layer 2 Solutions, Security, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,"Bitcoin, Layer 2 Solutions, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,"Bitcoin, Layer 2 Solutions, Privacy, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,"Bitcoin, Knowledge, Intermediate",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
70,"Blockchain Fundamental, Consensus Mechanisms, System Design, Advanced",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,"Blockchain Fundamental, Layer 2 Solutions, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,"Blockchain Fundamental, Cryptography, Knowledge, Intermediate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,"Blockchain Fundamental, Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
74,"Blockchain Fundamental, Smart Contract, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,"Blockchain Fundamental, Cryptography, Knowledge, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
76,"Blockchain Fundamental, Knowledge, Advanced",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
77,"Blockchain Fundamental, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,"Blockchain Fundamental, Security, System Design, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,"Blockchain Fundamental, Smart Contract, Security, System Design, Advanced",0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
80,"Blockchain Fundamental, Security, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,"Blockchain Fundamental, Security, Problem Solving, Advanced",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
83,"Blockchain Fundamental, Problem Solving, Advanced",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
